_index,_id,_score,_source.assetResourceId,_source.assetId,_source.parentId,_source.filename,_source.assetTypeName,_source.productEan,_source.projectNumber,_source.pimProjectNumber,_source.productName,_source.projectName,_source.productSku,_source.assetResourceCreationDate,_source.assetResourceFileCreateDate,_source.assetResourceFileModifyDate,_source.assetCreationDate,_source.customer,_source.creation_date,_source.file_create_date,_source.file_modify_date,_source.organization_id,_source.asset_resource_name,_source.asset_type_name,_source.file_name,_source.file_name_text,_source.upload_name,_source.pdf_text,_source.file_size,_source.asset_creation_date,_source.epsonmaterial,_source.gmgflow,_source.shape,_source.shapes,_source.software,_source.substrate_material,_source.keylinenumber,_source.angle,_source.packshottype,_source.printer_code,_source.printingmaterial,_source.printing_process,_source.printingprocess,_source.printing_workflow,_source.materials,_source.packtype,_source.shapecode,_source.shapecode_text,_source.packaging,_source.packrange,_source.packshotquality,_source.producttype,_source.volumes,_source.product_category_brand,_source.product_category_campaign,_source.product_category_market,_source.product_category_segment,_source.product_category_platform,_source.product_category_brand_text,_source.product_category_campaign_text,_source.product_category_market_text,_source.product_category_segment_text,_source.product_category_platform_text,_source.grammage,_source.net_content_statement,_source.net_contents_ml,_source.net_contents_g,_source.net_contents_pcs,_source.net_unit_contents_ml,_source.net_unit_contents_g,_source.product_ean,_source.product_name,_source.product_sku,_source.product_ean_text,_source.product_name_text,_source.product_sku_text,_source.froq_project_owner,_source.froq_project_owner_text,_source.project_owner_text,_source.project_owner,_source.project_froq_name,_source.project_froq_name_text,_source.project_froq_project_number,_source.project_froq_project_number_text,_source.project_name,_source.project_name_text,_source.project_pim_project_number,_source.project_pim_project_number_text,_source.tags,_source.height,_source.width
asset-resource-item_2025-10-17-152242,9219,1.0,9219,4017,9218,14600010_8719281066729_Keune_Style_Matte_Cream_125ml_CA.pdf,Final Artwork LR PDF,8719281066729,14600010,,Keune Style Matte Cream 125ml,Keune_Potten_Showdoosjes,8719281066729,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017822,0,0,6883,14600010_8719281066729_Keune_Style_Matte_Cream_125ml_CA.pdf,Final Artwork LR PDF,14600010_8719281066729_Keune_Style_Matte_Cream_125ml_CA.pdf,14600010_8719281066729_Keune_Style_Matte_Cream_125ml_CA.pdf,,,0,1700017823,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281066729,Keune Style Matte Cream 125ml,8719281066729,8719281066729,Keune Style Matte Cream 125ml,8719281066729,,,f,f,Keune_Potten_Showdoosjes,Keune_Potten_Showdoosjes,14600010,14600010,Keune_Potten_Showdoosjes,Keune_Potten_Showdoosjes,,,,,
asset-resource-item_2025-10-17-152242,9228,1.0,9228,4026,9227,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN_option2.pdf,Final Artwork LR PDF,8719281062066,14600002,,Keune Style Spray Wax 200ml TN option2,Keune_Style_Aerosols,8719281062066,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017833,0,0,6883,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN_option2.pdf,Final Artwork LR PDF,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN_option2.pdf,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN_option2.pdf,,,0,1700017833,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281062066,Keune Style Spray Wax 200ml TN option2,8719281062066,8719281062066,Keune Style Spray Wax 200ml TN option2,8719281062066,,,f,f,Keune_Style_Aerosols,Keune_Style_Aerosols,14600002,14600002,Keune_Style_Aerosols,Keune_Style_Aerosols,,,,,
asset-resource-item_2025-10-17-152242,9234,1.0,9234,4032,9233,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN.pdf,Final Artwork LR PDF,8719281062066,14600002,,Keune Style Spray Wax 200ml TN option2,Keune_Style_Aerosols,8719281062066,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017838,0,0,6883,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN.pdf,Final Artwork LR PDF,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN.pdf,14600002_8719281062066_Keune_Style_Spray_Wax_200ml_TN.pdf,,,0,1700017839,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281062066,Keune Style Spray Wax 200ml TN option2,8719281062066,8719281062066,Keune Style Spray Wax 200ml TN option2,8719281062066,,,f,f,Keune_Style_Aerosols,Keune_Style_Aerosols,14600002,14600002,Keune_Style_Aerosols,Keune_Style_Aerosols,,,,,
asset-resource-item_2025-10-17-152242,9241,1.0,9241,4041,9240,14600002_8719281052166_Keune_Style_Soft_Mousse_200ml_TN.pdf,Final Artwork LR PDF,8719281052166,14600002,,Keune Style Soft Mousse 200ml,Keune_Style_Aerosols,8719281052166,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017848,0,0,6883,14600002_8719281052166_Keune_Style_Soft_Mousse_200ml_TN.pdf,Final Artwork LR PDF,14600002_8719281052166_Keune_Style_Soft_Mousse_200ml_TN.pdf,14600002_8719281052166_Keune_Style_Soft_Mousse_200ml_TN.pdf,,,0,1700017848,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281052166,Keune Style Soft Mousse 200ml,8719281052166,8719281052166,Keune Style Soft Mousse 200ml,8719281052166,,,f,f,Keune_Style_Aerosols,Keune_Style_Aerosols,14600002,14600002,Keune_Style_Aerosols,Keune_Style_Aerosols,,,,,
asset-resource-item_2025-10-17-152242,9252,1.0,9252,4053,9251,14600003_8719281098270_Keune_The_Royal_Tribute_Outer.pdf,Final Artwork LR PDF,8719281098270,14600003,,Keune The Royal Tribute Outer,Keune_Royal_Tribute_HairSerum_box,8719281098270,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017860,0,0,6883,14600003_8719281098270_Keune_The_Royal_Tribute_Outer.pdf,Final Artwork LR PDF,14600003_8719281098270_Keune_The_Royal_Tribute_Outer.pdf,14600003_8719281098270_Keune_The_Royal_Tribute_Outer.pdf,,,0,1700017861,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281098270,Keune The Royal Tribute Outer,8719281098270,8719281098270,Keune The Royal Tribute Outer,8719281098270,,,f,f,Keune_Royal_Tribute_HairSerum_box,Keune_Royal_Tribute_HairSerum_box,14600003,14600003,Keune_Royal_Tribute_HairSerum_box,Keune_Royal_Tribute_HairSerum_box,,,,,
asset-resource-item_2025-10-17-152242,9264,1.0,9264,4065,9263,14600012_8719281097747_Keune_Style_Inner_Box_CA.pdf,Final Artwork LR PDF,8719281097747,14600012,,Keune Style Inner Box outside,Keune_Klibansky_Presentation_Box,8719281097747,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017874,0,0,6883,14600012_8719281097747_Keune_Style_Inner_Box_CA.pdf,Final Artwork LR PDF,14600012_8719281097747_Keune_Style_Inner_Box_CA.pdf,14600012_8719281097747_Keune_Style_Inner_Box_CA.pdf,,,0,1700017874,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281097747,Keune Style Inner Box outside,8719281097747,8719281097747,Keune Style Inner Box outside,8719281097747,,,f,f,Keune_Klibansky_Presentation_Box,Keune_Klibansky_Presentation_Box,14600012,14600012,Keune_Klibansky_Presentation_Box,Keune_Klibansky_Presentation_Box,,,,,
asset-resource-item_2025-10-17-152242,9270,1.0,9270,4074,9269,14600003_8719281098270_Keune_The_Royal_Tribute_Display_B.pdf,Final Artwork LR PDF,8719281098270,14600003,,Keune The Royal Tribute Outer,Keune_Royal_Tribute_HairSerum_box,8719281098270,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017883,0,0,6883,14600003_8719281098270_Keune_The_Royal_Tribute_Display_B.pdf,Final Artwork LR PDF,14600003_8719281098270_Keune_The_Royal_Tribute_Display_B.pdf,14600003_8719281098270_Keune_The_Royal_Tribute_Display_B.pdf,,,0,1700017883,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281098270,Keune The Royal Tribute Outer,8719281098270,8719281098270,Keune The Royal Tribute Outer,8719281098270,,,f,f,Keune_Royal_Tribute_HairSerum_box,Keune_Royal_Tribute_HairSerum_box,14600003,14600003,Keune_Royal_Tribute_HairSerum_box,Keune_Royal_Tribute_HairSerum_box,,,,,
asset-resource-item_2025-10-17-152242,9278,1.0,9278,4083,9277,14600010_8719281066743_Keune_Style_Fiber_Wax_125ml_CA.pdf,Final Artwork LR PDF,8719281066743,14600010,,Keune Style Fiber Wax 125ml,Keune_Potten_Showdoosjes,8719281066743,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017893,0,0,6883,14600010_8719281066743_Keune_Style_Fiber_Wax_125ml_CA.pdf,Final Artwork LR PDF,14600010_8719281066743_Keune_Style_Fiber_Wax_125ml_CA.pdf,14600010_8719281066743_Keune_Style_Fiber_Wax_125ml_CA.pdf,,,0,1700017893,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281066743,Keune Style Fiber Wax 125ml,8719281066743,8719281066743,Keune Style Fiber Wax 125ml,8719281066743,,,f,f,Keune_Potten_Showdoosjes,Keune_Potten_Showdoosjes,14600010,14600010,Keune_Potten_Showdoosjes,Keune_Potten_Showdoosjes,,,,,
asset-resource-item_2025-10-17-152242,9281,1.0,9281,4086,9280,14600007_8719281040057_Keune_Style_Volume_Powder_7g_CA.pdf,Final Artwork LR PDF,8719281040057,14600007,,Keune Style Volume Powder 7g,Keune_Powder_Showdoosjes,8719281040057,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017896,0,0,6883,14600007_8719281040057_Keune_Style_Volume_Powder_7g_CA.pdf,Final Artwork LR PDF,14600007_8719281040057_Keune_Style_Volume_Powder_7g_CA.pdf,14600007_8719281040057_Keune_Style_Volume_Powder_7g_CA.pdf,,,0,1700017896,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281040057,Keune Style Volume Powder 7g,8719281040057,8719281040057,Keune Style Volume Powder 7g,8719281040057,,,f,f,Keune_Powder_Showdoosjes,Keune_Powder_Showdoosjes,14600007,14600007,Keune_Powder_Showdoosjes,Keune_Powder_Showdoosjes,,,,,
asset-resource-item_2025-10-17-152242,9293,1.0,9293,3484,9292,14600006_8719281040156_Keune_Style_Thickening_Cream_200ml_CA.pdf,Final Artwork LR PDF,8719281040156,14600006,,Keune Style Thickening Cream 200ml,Keune_Flacon_Showdoosjes,8719281040156,15-11-2023,01-01-1970,01-01-1970,09-11-2023,Keune Haircosmetics,1700017909,0,0,6883,14600006_8719281040156_Keune_Style_Thickening_Cream_200ml_CA.pdf,Final Artwork LR PDF,14600006_8719281040156_Keune_Style_Thickening_Cream_200ml_CA.pdf,14600006_8719281040156_Keune_Style_Thickening_Cream_200ml_CA.pdf,,,0,1699496515,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281040156,Keune Style Thickening Cream 200ml,8719281040156,8719281040156,Keune Style Thickening Cream 200ml,8719281040156,,,f,f,Keune_Flacon_Showdoosjes,Keune_Flacon_Showdoosjes,14600006,14600006,Keune_Flacon_Showdoosjes,Keune_Flacon_Showdoosjes,,,,,
